,Text,Star,Compound Value,,,
0,Unable to update won't load crashing at times unresponsive was a good reliable app now it's unreliable,1,0.4404,0,,
1,Good,1,0.4404,1,,
2,Good,1,0.4404,1,,
3,Z be l nook look t mm vmll and as aaàafjio cft KK Ann t z g,1,0.7378,0,,0.388888889
4,Been tripping all week. It won't update. Horrible horrible problems. Newer version won't update,1,0.4588,0,,
5,It is the best app for browsing,1,0.6369,1,,
6,"I Depend on CHROME to GET it Right ‼️💥‼️ Moreso, TO KEEP IT RIGHT!! NEW msg reflects last update 12•12•2020 and still reflects Critical Update (... VULNERABILITY that May allow access to critical information, still trying... AGAIN! AGAIN!!) ‼️💥‼️ ALERT ‼️💥‼️ UPDATE AGAIN 12•21•2020. (same schidt, different day!! FIX THIS!!) Cache CLEARED, History CLEARED, Duplicates DELETED!!! C'MON GOOGLE 🤣🤣🤣 ELECTION INTERFERENCE AT IT'S FINEST (NOT)🤣🤪🤣🤪",1,0.9106,0,,
7,"Dark mode is acting up and changing screen light to super bright on it's own , super annoyed",1,0.8442,0,,
8,"Latest update turns my screen pink on some web pages I keep uninstalling the latest updates as it seems to be the cause. Please Google sort it out, also does it on smart assistant on my oppo Reno 2",1,0.6124,0,,
9,Best,1,0.6369,1,,
10,Good,1,0.4404,1,,
11,Nice,1,0.4215,1,,
12,Chorme is best but without my permission it opening some web sites . When I'm playing the games like its opening some websites and when i 'm using whatsapp its opening.when I'm power on its showing again and again.So please fix its by giving some update,1,0.9201,0,,
13,Good😊,1,0.836,1,,
14,Good,1,0.4404,1,,
15,💘Mithleshkumar 💕,1,0.8591,0,,
16,Good,1,0.4404,1,,
17,This app was using all my data for the month in a week. Changed to a different browser that uses way less data to view web pages. Now I don't have to upgrade my cell plan. Extra bonus the pages load faster on my new browser,1,0.5423,0,,
18,W loo tobe exx so so xws to ewd to eve and e to get the order soowzss e u o to ed ok let osdeo to get ddos the above we🙂😃🤩,1,0.7305,0,,
19,"If you value freedom and liberty, switch to duckduckgo. Google uses its enormous power to destroy western culture and philosophy and it sticks its middle finger up at your privacy !",1,0.76,0,,
20,IT IS GOOD FOR GAMING,1,0.4404,1,,
21,"I face so many problems from my Chrome application. It is not working as well, so please solve my Chrome mobile application as soon as possible. Thanks",1,0.49,0,,
22,"Recently running incredibly slow despite only one or two active tabs. It's occasionally been claiming that I am offline despite other internet connected apps working fine. Updates close your incognito tabs, which is rather annoying. *Upon changing to a 1 star review suddenly now Google cares, it seems.",1,0.5106,0,,
23,Please collect information on yourselves and let me live and do as I wish without you feeling the need to know my every thought or action or reaction.. in other words don't be evil... Just do you boo,1,0.799,0,,
24,Doing very well only about a week it started malfunctioning like opening a site and logging in to my account on the site would be impossible!; I also tried updating the app it started with downloading the update up to 100% and started all over again until my internet plan was exhausted. pls fix this asap 🙏,1,0.4561,0,,
25,This file sharing for third person,1,0.4215,0,,
26,"The update won't download, and from the other reviews it's probably a good thing!",1,0.4926,0,,
27,Good,1,0.4404,1,,
28,"Hate it, I have been using the Google search widget for years, I click the microphone and talk, its been good just a beep letting me know its ready, now I click the microphone and I hear ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" I DO NOT NEED TO BE ASKED ANYTHING.... ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP""",1,0.9643,0,,
29,Good serving,1,0.4404,1,,
30,Excellent,1,0.5719,1,,
31,My chrome app not update in my phone.why ? Please help,1,0.6124,0,,
32,😃I searched up dady chill 😎 and the acsaint😃😃😈💀🖕🖕🖕🖕🖕 and my dad heard that😅😍😍,1,0.9638,0,,
33,Good on searching not on updating and installing,1,0.4404,0,,
34,Hi google. My xiaomi note 9s cant seem to update. Cn you help?,1,0.4019,0,,
35,Nice n fast,1,0.4215,1,,
36,Good,1,0.4404,1,,
37,I can't update this app. I hit update and it doesn't do anything. My phone has been crashing and running slow. I started using Duck Duck Go as my browser and have had better luck.,1,0.7096,0,,
38,Nice,1,0.4215,1,,
39,All free ads pop up,1,0.5106,0,,
40,A lil terrible but if you do know how to fix this please fix it. The thing is when i open something to download inside of chrome it shows ads. And its bothering me from the view. If you know how to fix this please kindly fix it.,1,0.7734,0,,
41,Good,1,0.4404,1,,
42,Best app,1,0.6369,1,,
43,Worked great until I updated and now I can't even open it. Way to go! How long until this is fixed and we can search things?,1,0.6588,0,,
44,Chrome has been wonderful over the years for me but for some reason the app will not update. I cleared out all my cache and storage and it's still not updating. I don't know why !!!!! Can please some one help me!!!!!!!!!!,1,0.8616,0,,
45,Sir I unable to update this app Sir please help me to update it,1,0.6124,0,,
46,I wish i didnt update.,1,0.4019,0,,
47,Great,1,0.6249,1,,
48,I don't want my business shared with anyone. I have been violated. I want sharing my information off. Please clear sharing with everyone.,1,0.8214,0,,
49,"This app will not update. So I'm gonna uninstall and download a better web bro see l tellwser. Let's hope that it does automatic updates, is safe and especially reliable. Google being one of the biggest Tech Giants today, we would at least think that the app would not of been this long without being fixed. Another reason I'm uninstalling is because of the length of time I have gotten linked back to the play store to update the app that simply won't do anything you can not even open the app.",1,0.9201,0,,
50,Good,1,0.4404,1,,
51,This app not updated yet I already trying again and again but not updated poor service,1,0.5157,0,,
52,super,1,0.5994,1,,
53,😲😲😲😲😲😲😲😲,1,0.9571,0,,
54,Nice,1,0.4215,1,,
55,Is fast secure I love it,1,0.765,1,,
56,"it simply doesn't work. whenever i try to search something on google and open a certain link, the screen just goes black, and after some long seconds (maybe 30?), it crashes. it also takes a very long time to back up after trying to open the link. after noticing this, i went to the google app store to see if i had to update it, and it does show in fact that it needs an update, but it just doesn't. it's either stuck on ""pending"" or just stops. please try to fix this asap!",1,0.6126,0,,
57,Good,1,0.4404,1,,
58,Honestly if I could give it less I would. Cant even searcg anything after the update,1,0.4588,0,,
59,Its constantly showing clean phone after i cleaned it,1,0.4019,0,,
60,Trying to update chrome for over a week now and it refuses to update...it is 2 months now still can't update...I've given up and moved to DUCKDUCKGO....MUCH BETTER quick for loading and best for privacy...won't be going back to Google Chrome,1,0.8331,0,,
61,Its not responding to my request when I am searching or visiting a link. Please fix this. Thanks.,1,0.6369,0,,
62,"Always have to download updates from apkmirror, update from here crashes chrome! Update: Bromite is so much better, comes with ad-blocker too.",1,0.5378,0,,
63,t Thanks again Vietta how's your car doing well I hope you have a great day and I will be able and willing to help you out with the next steps for me to do that we need to get the update on the status of the order I placed the order on your way back to the office I will send you my email address to use it for you if you need anything else from me please let me know what you need from me to get you a copy of the order I placed the right number for you to call for the next couple weeks so I'm goi.,1,0.946,0,,
64,Good,1,0.4404,1,,
65,Please help me chrome team Google chrome new update is showing in play store when I click on update the app is not updating please help me 🙏🙏🙏,1,0.4905,0,,
66,Chrome is not getting update i have click on update button but it get canceled immediately i have tried many times but same is happening. Please fix this!!,1,0.5475,0,,
67,Unable to update the application on Samsung tab a. Please help Google developer,1,0.6124,0,,
68,I updated just before 5 mins and its keep crashing. It freezes on startup and not able to any thing. It shows internet connection issue but on other side am getting continuous emails. Please fix.,1,0.4404,0,,
69,Best app ever,1,0.6369,1,,
70,This is to bring to your notice to an urgent solution for updating the the chrome app in my mobile handset.  I am not able to update the chrome app through play store after continuously trying for several times.  Please provide an urgent solution for the same.  Thank you,1,0.9081,0,,
71,It says there is an update? But it will NOT UPDATE.... no matter what I do? What's going on Google? I rely on Google Chrome as my #1 Search.... Please get this FIXED!,1,0.5946,0,,
72,Nice,1,0.4215,1,,
73,"It won't let me use Google chrome without updating the app, but then it won't let me update it! PLEASE FIX THIS ASAP!!",1,0.7119,0,,
74,Nit abke to update... Tried more than 100 times Can somebody help,1,0.4019,0,,
75,Unable to update on my oppo a9 2020. I uninstalled previous updates and tried to clear all data cache of google play store and chrome. Still it is not updating.,1,0.6124,0,,
76,Good,1,0.4404,1,,
77,Please update my Google Chrome app Please help,1,0.743,0,,
78,"What the heck happened to Google Chrome???!!! It used to be awesome just two days ago, and now it seems like a trash. I can't update it or download anything by using it. Please fix this early so that it can be useful like it before...",1,0.9405,0,,
79,I can't get out of here! Help!🥺🙄,1,0.508,0,,
80,I cannot update the chrome. It has some issues. Please resolve it for me.,1,0.5994,0,,
81,I cant even update the app on my phone how funny is that. Everytime i hit update it starts and stops instantly. What a Joke.,1,0.5423,0,,
82,Great,1,0.6249,1,,
83,He is a good app,1,0.4404,1,,
84,"Won't run crashes on startup, excellent testing there 🤔",1,0.5719,0,,
85,This app is not working for me. Everytime i open notices it stays on the same site. I dont understand it. Its stuck on the same site. I uninstalled and reinstalled and still the same. HELP?????,1,0.5256,0,,
86,Not able to update this application .. pls help..,1,0.4588,0,,
87,Good,1,0.4404,1,,
88,So good,1,0.4927,1,,
89,Good,1,0.4404,1,,
90,Best app ever,1,0.6369,1,,
91,Google has tracked my every move on line and offline sending me ads for text I have sent to friends like I need a oil change bro then boom when I get online I got advertisements trying to sell me oil changes. I have told friend in chat about a certain boot I wanna get boom the brand and the exact model is on my page. They have censored my search history to what I wanna look for they shift me going another way scary site stay away no good,1,0.4929,0,,
92,"Won't update, cannot get the update to work. Tried on wifi and mobile data nothing worked. Used to be an awesome browser but if I can't update it then security falls below standard and my information is at risk. Fix this asap.",1,0.4588,0,,
93,Good,1,0.4404,1,,
94,Good App,1,0.4404,1,,
95,Good,1,0.4404,1,,
96,"Its not possible for me to update my google Crome, since i have purchased my phone.can you please find a solution for this issue.",1,0.5574,0,,
97,good,1,0.4404,1,,
98,Not letting me update did everything fix please !!! Zero stars,1,0.4898,0,,
99,Plezz support Android 4.4.4,1,0.4019,0,,
100,"The app can't be updated, I've been trying to update it for months now, but it won't update... That's bad.",1,0.5824,0,,
101,I can't update this app Plz help,1,0.4588,0,,
102,Can't wait for government to take you down lol,1,0.4215,0,,
103,"I dont know what's happening right now but google isn't working at all for me, cant look anything up, the app closes and says that it's not working, so I thought maybe its because I havent updated it in like a million years, so I click the update button and it dosent work, I dont know what ti do right now?",1,0.5023,0,,
104,Google is better,1,0.4404,1,,
105,I'm being stalked. HELP,1,0.5319,0,,
106,From last 4 month i will be try to update this app but its not be done.... Shame on you,1,0.5157,0,,
107,I am unable to update my app Kindly help me in this regard,1,0.7096,0,,
108,Nice,1,0.4215,1,,
109,"so happy to say im finally getting rid of google chrome. it was difficult for a long time due to a lack of alternatives but the developers made it very easy to uninstall by making the browser more and more garbage and unusable, much appreciated, thank you <3!",1,0.9243,0,,
110,Better,1,0.4404,1,,
111,I cant update my chrome from 19th jan 2020. Please help me out,1,0.6124,0,,
112,Good,1,0.4404,1,,
113,Wonderful,1,0.5719,1,,
114,Not updating Worst app,1,0.5096,0,,
115,Past 4 days Google chrome is not working at all I don't know why it is happening please solve the issue,1,0.4767,0,,
116,Good,1,0.4404,1,,
117,Super,1,0.5994,1,,
118,Wonderful,1,0.5719,1,,
119,Good,1,0.4404,1,,
120,Google you need to fix chrome it's giving me 90s vibes the way it's so slow and it keeps crashing I have to uninstall then reinstall to fix it. What's up?!,1,0.4003,0,,
121,Nice app i like this app,1,0.6486,1,,
122,The app refuses to update. When I try to force update it cancels the update. If I need to start using another browser I will but hopefully this gets fixed soon.,1,0.4767,0,,
123,It has a virus on it and now it has the virus on my phone. Hopefully this will be fixed fast.,1,0.4019,0,,
124,Not bad,1,0.431,0,,
125,"Please bring back the scrollable tabs because it was an easy and quick way to choose a tab no matter if there were 5 or 50. Also, please make life unbearable for all the idiots who decided to change it. Thank you",1,0.8371,0,,
126,Nice,1,0.4215,1,,
127,Google steals data and now is starting to become the enemy of the County by manipulate data to benefit China and other countries that align against the US. Brave and other secure browsers are better.,1,0.5994,0,,
128,Very Heavyweight and battery draining app taking 3.2 GB space. Also this app cannot be moved to the SD card so that some space could have been saved from the phone memory.,1,0.4215,0,,
129,I can not update Google Chrome please help me to solve this issue,1,0.7003,0,,
130,"nice,✨",1,0.6249,1,,
131,"Dear developer ..... I can't update Google chrome.....so, I think you must be solve this issue as soon as possible...",1,0.5267,0,,
132,app keeps crashing and i cant update it. going to look for a better browser,1,0.4404,0,,
133,"Aibo im robbed, who ever is making updates is robing me. I've been trying to update the app but guess what... The 1st time it stoped at 98% downloading and started again, then when it reached 100% it continued to download . aibo my data you people ahh man no. I love this app dont make me switch.",1,0.7684,0,,
134,Good,1,0.4404,1,,
135,Whats going on??? Have had trouble since 2020 and its now 2021 and the app will not update does anybody care!!!!,1,0.4953,0,,
136,Not updating.... Worst day by day,1,0.5096,0,,
137,Excellent,1,0.5719,1,,
138,I don't like the new tabs I liked the way it was before. Google is always fixing things that aren't broken just learn too leave well enough alone.,1,0.4843,0,,
139,Awesome,1,0.6249,1,,
140,Not updated my app google help me,1,0.4019,0,,
141,its so fuccing helpful,1,0.4728,1,,
142,Good,1,0.4404,1,,
143,Good luck with,1,0.7096,1,,
144,Unable to update google chrome. Whenever new update comes in my play store .dont know why???,1,0.4479,0,,
145,🤙,1,0.4939,1,,
146,"Still regressing. The discovery articles are trash, again. Still can't swipe away, now get suggestions that sometimes a year old, and now there's not even a more option at the bottom or anyway to refresh them. Thanks dumbasses",1,0.4404,0,,
147,The App very good,1,0.4927,1,,
148,good app,1,0.4404,1,,
149,Please Google remove your update why are you giving updates while update not working..,1,0.5719,0,,
150,😄😃☺😉😁😌 Good Luck To U 🎄,1,0.9661,1,,
151,Chrome not updating 💔please help me,1,0.6433,0,,
152,4th Feb update 😖☠ i liked that grouping tab and all. If there are some changes there should be a way to enable disable features☠,1,0.4215,0,,
153,"Why the phuck can I not go to bookmarks anymore, this app is becoming a laughing stock",1,0.4939,0,,
154,I can't updated this app pls help us,1,0.4588,0,,
155,Free mb,1,0.5106,0,,
156,I am unable update crome in play store.not sure reason. Please help me to fix the issue.,1,0.8271,0,,
157,Best,1,0.6369,1,,
158,"I am happy with the simplicity of this app, but it trakes and keeps all user's data. And now, I don't know why but I am unable to update the app using Google Play Store. Please try fixing this bug as earliest of possible and let user have some privacy and don't play with users' centiments.",1,0.7046,0,,
159,"Does not update, Galaxy S20 FE. It would be nice if the update was properly tested before it is placed for users to use. Otherwise, I started to think that we get one more mICROSOFT instead of Google",1,0.4215,0,,
160,This page uses too much memory so chrome removed some content Annoying more than useful ease fix it,1,0.501,0,,
161,Guys pls developers help me my chrome is not working and my Google too. Its bot getting updated and also not doing any searches only blank pages,1,0.4588,0,,
162,It's complicated...on purpose I'm sure ....a little awareness as to where we ought to be setting our phones would be very much appreciated?!,1,0.7327,0,,
163,"Rubbish... Don't bother.... won't install the update...not worth the hassle of clearing cache, switching off phone or dancing naked round a chocolate toffee in the pouring rain....JUST FIX THE UPDATE SO YOU DON'T HAVE TO KEEP MESSING AROUND....",1,0.4471,0,,
164,"I want to update this app but that's didn't happen, I have infinix hot 9 pro mobile, please how to update this app, tell me",1,0.4767,0,,
165,Good,1,0.4404,1,,
166,Not updating.. How can i solve this issues please help🙏,1,0.7003,0,,
167,Any page that found that may help when I open the page it's a sorry this page cannot be Found. Not a lot of help,1,0.6249,0,,
168,Super,1,0.5994,1,,
169,I don't like grouping of cards. I switched it off with the flags but it turns itself on again. Let me decide for myself what I like.,1,0.4009,0,,
170,New update is super annoying with recent tabs. Please give an option for both. A tab within a tab? Tabception. Uninstalling and getting the old version. This is garbage and not user friendly in the least bit. Amazing that a multi billion dollar company put this out,1,0.688,0,,
171,Nice,1,0.4215,1,,
