,Text,Star,Compound Value,Cleaned_Text
0,Unable to update won't load crashing at times unresponsive was a good reliable app now it's unreliable,1,0.765,unable to update won t load crashing at times unresponsive was a good reliable app now it s unreliable
1,Good,1,0.4404,good
2,Good,1,0.4404,good
3,Z be l nook look t mm vmll and as aaàafjio cft KK Ann t z g,1,0.6705,z be l nook look t mm vmll and as aa afjio cft kk ann t z g
4,It is the best app for browsing,1,0.6369,it is the best app for browsing
5,"Dark mode is acting up and changing screen light to super bright on it's own , super annoyed",1,0.8442,dark mode is acting up and changing screen light to super bright on it s own   super annoyed
6,"Latest update turns my screen pink on some web pages I keep uninstalling the latest updates as it seems to be the cause. Please Google sort it out, also does it on smart assistant on my oppo Reno 2",1,0.6124,latest update turns my screen pink on some web pages i keep uninstalling the latest updates as it seems to be the cause  please google sort it out  also does it on smart assistant on my oppo reno  
7,Best,1,0.6369,best
8,Good,1,0.4404,good
9,Nice,1,0.4215,nice
10,Chorme is best but without my permission it opening some web sites . When I'm playing the games like its opening some websites and when i 'm using whatsapp its opening.when I'm power on its showing again and again.So please fix its by giving some update,1,0.9341,chorme is best but without my permission it opening some web sites   when i m playing the games like its opening some websites and when i  m using whatsapp its opening when i m power on its showing again and again so please fix its by giving some update
11,Good😊,1,0.4404,good 
12,Good,1,0.4404,good
13,Good,1,0.4404,good
14,This app was using all my data for the month in a week. Changed to a different browser that uses way less data to view web pages. Now I don't have to upgrade my cell plan. Extra bonus the pages load faster on my new browser,1,0.5423,this app was using all my data for the month in a week  changed to a different browser that uses way less data to view web pages  now i don t have to upgrade my cell plan  extra bonus the pages load faster on my new browser
15,"Why won't you let me install a backedup version of the app?!? I normally update the app on my on schedule (every two months). But the app kept nagging me to update it. Now the app freezes, locks up and is non-responsive multiple times within the hour. This is happening on my Google Pixel 2 and on my Samsung Tab S2. I will be sure NOT to upgrade the app whenever it suggests that I do so. This is why I don't allow automatic updates... This is some BS...",1,0.7351,why won t you let me install a backedup version of the app    i normally update the app on my on schedule  every two months   but the app kept nagging me to update it  now the app freezes  locks up and is non responsive multiple times within the hour  this is happening on my google pixel   and on my samsung tab s   i will be sure not to upgrade the app whenever it suggests that i do so  this is why i don t allow automatic updates    this is some bs   
16,"If you value freedom and liberty, switch to duckduckgo. Google uses its enormous power to destroy western culture and philosophy and it sticks its middle finger up at your privacy !",1,0.738,if you value freedom and liberty  switch to duckduckgo  google uses its enormous power to destroy western culture and philosophy and it sticks its middle finger up at your privacy  
17,IT IS GOOD FOR GAMING,1,0.4404,it is good for gaming
18,"I face so many problems from my Chrome application. It is not working as well, so please solve my Chrome mobile application as soon as possible. Thanks",1,0.49,i face so many problems from my chrome application  it is not working as well  so please solve my chrome mobile application as soon as possible  thanks
19,"Recently running incredibly slow despite only one or two active tabs. It's occasionally been claiming that I am offline despite other internet connected apps working fine. Updates close your incognito tabs, which is rather annoying. *Upon changing to a 1 star review suddenly now Google cares, it seems.",1,0.5106,recently running incredibly slow despite only one or two active tabs  it s occasionally been claiming that i am offline despite other internet connected apps working fine  updates close your incognito tabs  which is rather annoying   upon changing to a 1 star review suddenly now google cares  it seems 
20,Doing very well only about a week it started malfunctioning like opening a site and logging in to my account on the site would be impossible!; I also tried updating the app it started with downloading the update up to 100% and started all over again until my internet plan was exhausted. pls fix this asap 🙏,1,0.4005,doing very well only about a week it started malfunctioning like opening a site and logging in to my account on the site would be impossible   i also tried updating the app it started with downloading the update up to 100  and started all over again until my internet plan was exhausted  pls fix this asap  
21,Won't updated,1,0.5719,won t updated
22,What's going on???... My chrome won't load and automatically shuts down!,1,0.5719,what s going on       my chrome won t load and automatically shuts down 
23,This file sharing for third person,1,0.4215,this file sharing for third person
24,"The update won't download, and from the other reviews it's probably a good thing!",1,0.765,the update won t download  and from the other reviews it s probably a good thing 
25,It won't let me update app..plus its running slower now🤔,1,0.5719,it won t let me update app  plus its running slower now 
26,Good,1,0.4404,good
27,Chrome won't update I got a new phone and nothing has changed someone fix this,1,0.5719,chrome won t update i got a new phone and nothing has changed someone fix this
